Burton Huddersfield 0 1
Cardiff Wolves 2 1
Fulham Rotherham 2 1
Leeds Reading 2 0
Norwich Aston_Villa 1 0
Sheffield_Weds Barnsley 2 0
Nott'm_Forest Preston 1 1
QPR Derby 0 1
Wigan Newcastle 0 2
Norwich Huddersfield 1 2
Birmingham Brighton 1 2
Blackburn Reading 2 3
Bristol_City Preston 1 2
Burton Newcastle 1 2
Cardiff Barnsley 3 4
Fulham Derby 2 2
Leeds Brentford 1 0
Nott'm_Forest Wolves 0 2
Sheffield_Weds Rotherham 1 0
Wigan Ipswich 2 3
QPR Aston_Villa 0 1
Aston_Villa Burton 2 1
Barnsley Blackburn 2 0
Brentford Cardiff 2 2
Huddersfield Nott'm_Forest 2 1
Ipswich Fulham 0 2
Newcastle Sheffield_Weds 0 1
Preston Leeds 1 4
Reading Norwich 3 1
Rotherham Wigan 3 2
Wolves Bristol_City 3 2
Brighton QPR 3 0
Derby Birmingham 1 0
Aston_Villa Leeds 1 1
Rotherham Burton 1 2
Ipswich Bristol_City 2 1
Newcastle Nott'm_Forest 3 1
Barnsley Birmingham 2 2
Brentford Norwich 0 0
Derby Wigan 0 0
Huddersfield Blackburn 1 1
Preston Sheffield_Weds 1 1
Wolves QPR 1 2
Birmingham Brentford 1 3
Blackburn Newcastle 1 0
Bristol_City Reading 2 3
Burton Preston 0 1
Cardiff Aston_Villa 1 0
Fulham Brighton 1 2
Leeds Rotherham 3 0
Norwich Derby 3 0
Nott'm_Forest Barnsley 0 1
QPR Ipswich 2 1
Sheffield_Weds Wolves 0 0
Wigan Huddersfield 0 1
Reading QPR 0 1
Leeds Derby 1 0
Birmingham Nott'm_Forest 0 0
Brentford Newcastle 1 2
Bristol_City Cardiff 2 3
Burton Wigan 0 2
Fulham Barnsley 2 0
Ipswich Blackburn 3 2
Preston Brighton 2 0
Rotherham Norwich 2 1
Sheffield_Weds Huddersfield 2 0
Wolves Aston_Villa 1 0
Brighton Sheffield_Weds 2 1
Aston_Villa Preston 2 2
Barnsley Leeds 3 2
Blackburn Birmingham 1 1
Cardiff Burton 1 0
Derby Reading 3 2
Huddersfield Ipswich 2 0
Newcastle Rotherham 4 0
Norwich Wolves 3 1
Nott'm_Forest Bristol_City 1 0
QPR Fulham 1 1
Wigan Brentford 2 1
Brighton Cardiff 1 0
Reading Fulham 1 0
Leeds Nott'm_Forest 2 0
Norwich Birmingham 2 0
Preston Ipswich 1 1
QPR Burton 1 2
Reading Cardiff 2 1
Rotherham Barnsley 0 1
Barnsley Wolves 1 3
Birmingham Reading 0 1
Brentford Aston_Villa 3 0
Bristol_City Sheffield_Weds 2 2
Cardiff Preston 2 0
Ipswich Derby 0 3
Nott'm_Forest Rotherham 2 0
Blackburn Leeds 1 2
Burton Fulham 0 2
Newcastle QPR 2 2
Huddersfield Brighton 3 1
Wigan Sheffield_Weds 0 1
Barnsley Preston 0 0
Birmingham Fulham 1 0
Blackburn QPR 1 0
Bristol_City Rotherham 1 0
Burton Wolves 2 1
Cardiff Norwich 0 1
Ipswich Reading 2 2
Newcastle Derby 1 0
Nott'm_Forest Aston_Villa 2 1
Brentford Brighton 3 3
Huddersfield Leeds 2 1
Wigan Norwich 2 2
Sheffield_Weds Birmingham 3 0
Aston_Villa Ipswich 0 1
Brighton Burton 4 1
Derby Bristol_City 3 3
Fulham Wigan 3 2
Leeds Cardiff 0 2
Norwich Nott'm_Forest 5 1
Preston Brentford 4 2
QPR Huddersfield 1 2
Reading Barnsley 0 0
Rotherham Blackburn 1 1
Wolves Newcastle 0 1
Aston_Villa Barnsley 1 3
Brighton Ipswich 1 1
Derby Cardiff 3 4
Fulham Nott'm_Forest 3 2
Leeds Bristol_City 2 1
Norwich Newcastle 2 2
Preston Birmingham 2 1
Reading Brentford 3 2
Rotherham Huddersfield 2 3
Sheffield_Weds Blackburn 2 1
Wolves Wigan 0 1
Barnsley Brighton 0 2
Birmingham QPR 1 4
Burton Norwich 2 1
Cardiff Rotherham 5 0
Ipswich Leeds 1 1
Nott'm_Forest Sheffield_Weds 1 2
Wigan Preston 0 0
Newcastle Aston_Villa 2 0
Derby Burton 0 0
Huddersfield Reading 1 0
QPR Wigan 2 1
Sheffield_Weds Brentford 1 2
Bristol_City Fulham 0 2
Burton Blackburn 1 1
Wolves Birmingham 1 2
Aston_Villa Derby 1 0
Barnsley Huddersfield 1 1
Brentford Rotherham 4 2
Brighton Reading 3 0
Cardiff Fulham 2 2
Leeds Sheffield_Weds 1 0
Newcastle Bristol_City 2 2
Preston QPR 2 1
Wigan Nott'm_Forest 0 0
Norwich Ipswich 1 1
Aston_Villa Bristol_City 2 0
Blackburn Derby 1 0
Brighton Newcastle 1 2
Birmingham Leeds 1 3
Blackburn Wigan 1 0
Bristol_City Burton 0 0
Derby Barnsley 2 1
Fulham Preston 3 1
Huddersfield Newcastle 1 3
Ipswich Brentford 1 1
Nott'm_Forest Brighton 3 0
QPR Cardiff 2 1
Reading Wolves 2 1
Rotherham Aston_Villa 0 2
Sheffield_Weds Norwich 5 1
Birmingham Wigan 0 1
Blackburn Cardiff 1 1
Bristol_City Norwich 1 1
Derby Preston 1 1
Fulham Leeds 1 1
Huddersfield Aston_Villa 1 0
Ipswich Wolves 0 0
Nott'm_Forest Brentford 2 3
QPR Barnsley 2 1
Reading Newcastle 0 0
Rotherham Brighton 0 2
Sheffield_Weds Burton 1 1
Brighton Derby 3 0
Aston_Villa Sheffield_Weds 2 0
Barnsley Ipswich 1 1
Brentford Huddersfield 0 1
Burton Nott'm_Forest 1 0
Cardiff Birmingham 1 1
Leeds QPR 0 0
Newcastle Fulham 1 3
Norwich Blackburn 2 2
Preston Reading 3 0
Wigan Bristol_City 0 1
Wolves Rotherham 1 0
Brentford Wolves 1 2
Fulham Blackburn 2 2
Bristol_City Huddersfield 4 0
Sheffield_Weds Reading 0 2
Birmingham Newcastle 0 0
Blackburn Preston 2 2
Burton Brentford 3 5
Cardiff Ipswich 3 1
Fulham Wolves 1 3
Leeds Brighton 2 0
Norwich Barnsley 2 0
Nott'm_Forest Derby 2 2
QPR Rotherham 5 1
Wigan Aston_Villa 0 2
Derby QPR 1 0
Aston_Villa Norwich 2 0
Barnsley Sheffield_Weds 1 1
Brentford Bristol_City 2 0
Brighton Blackburn 1 0
Huddersfield Burton 0 1
Ipswich Birmingham 1 1
Newcastle Wigan 2 1
Preston Nott'm_Forest 1 1
Reading Leeds 1 0
Rotherham Fulham 0 1
Wolves Cardiff 3 1
Aston_Villa QPR 1 0
Barnsley Cardiff 0 0
Brentford Leeds 2 0
Brighton Birmingham 3 1
Derby Fulham 4 2
Ipswich Wigan 3 0
Preston Bristol_City 5 0
Reading Blackburn 3 1
Rotherham Sheffield_Weds 0 2
Wolves Nott'm_Forest 1 0
Huddersfield Norwich 3 0
Newcastle Burton 1 0
QPR Brighton 1 2
Birmingham Derby 1 2
Blackburn Barnsley 0 2
Bristol_City Wolves 3 1
Burton Aston_Villa 1 1
Cardiff Brentford 2 1
Fulham Ipswich 3 1
Leeds Preston 3 0
Norwich Reading 7 1
Nott'm_Forest Huddersfield 2 0
Sheffield_Weds Newcastle 2 1
Wigan Rotherham 3 2
Wigan Barnsley 3 2
Brentford Derby 4 0
Bristol_City QPR 2 1
Burton Ipswich 1 2
Huddersfield Preston 3 2
Newcastle Leeds 1 1
Norwich Fulham 1 3
Nott'm_Forest Blackburn 0 1
Rotherham Birmingham 1 1
Sheffield_Weds Cardiff 1 0
Wolves Brighton 0 2
Aston_Villa Reading 1 3
Barnsley Brentford 1 1
Birmingham Burton 0 2
Blackburn Bristol_City 1 1
Brighton Wigan 2 1
Cardiff Nott'm_Forest 1 0
Derby Huddersfield 1 1
Fulham Aston_Villa 3 1
Ipswich Newcastle 3 1
Leeds Wolves 0 1
Preston Norwich 1 3
QPR Sheffield_Weds 1 2
Reading Rotherham 2 1
Norwich Brighton 2 0
Brentford QPR 3 1
Bristol_City Barnsley 3 2
Burton Leeds 2 1
Huddersfield Fulham 1 4
Nott'm_Forest Reading 3 2
Rotherham Ipswich 1 0
Sheffield_Weds Derby 2 1
Wigan Cardiff 0 0
Wolves Blackburn 0 0
Aston_Villa Birmingham 1 0
Newcastle Preston 4 1
Wolves Huddersfield 0 1
Cardiff Newcastle 0 2
Barnsley Burton 1 1
Birmingham Huddersfield 2 0
Blackburn Aston_Villa 1 0
Brighton Bristol_City 0 1
Derby Wolves 3 1
Fulham Brentford 1 1
Ipswich Sheffield_Weds 0 1
Leeds Norwich 3 3
Preston Rotherham 1 1
QPR Nott'm_Forest 2 0
Reading Wigan 1 0
Aston_Villa Brighton 1 1
Brentford Blackburn 1 3
Bristol_City Birmingham 0 1
Burton Reading 2 4
Huddersfield Cardiff 0 3
Newcastle Barnsley 3 0
Norwich QPR 4 0
Nott'm_Forest Ipswich 3 0
Rotherham Derby 1 1
Sheffield_Weds Fulham 1 2
Wigan Leeds 1 1
Wolves Preston 1 0
